url,公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接,公司地址,招标数量,招标总金额,供应商数量
宜兴紫砂陶制作虚拟仿真实验采购项目（HW2022028）自行采购成交公告,中标,中标结果,宜兴紫砂陶制作虚拟仿真实验采购项目（HW2022028）自行采购成交公告,,HW2022028,紫砂陶制作虚拟仿真实验,190000.0,,其他,,南京工业大学招投标管理中心,黄**-025-58139230,南京恒点信息技术有限公司 ,"中标人     15366054932 ,中标人     13236222111 ,中标人     025-83222270 ,中标人     025-52185541 ,徐**     0516-83590287 ",190000.0,2022-09-23,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/362305478/b2,地址南京经济技术开发区兴智路6号兴智科技园B栋1602室,78 次,"2,352.28 万",33 家
新能源汽车虚拟仿真实训基地设备及集成,中标,中标结果,新能源汽车虚拟仿真实训基地设备及集成,,LHZC-2022GK0016,"虚拟仿真实训教学软件,空气压缩机,工具车,高压清洗机,打磨机,实训桌椅,高压水枪,实训教学系统,抛光机,举升机,宣传资源,常用工具,电动推拉门,制冷剂回收加注机,零件盒,新能源汽车诊断仪,轮胎架,智慧终端,营销桌椅,工具架,安全防护用具,循环水净化设备,吹枪,教学话筒,车轮动平衡仪,音频处理模块,拆胎机,扩胎机,数据输出设备,汽车模拟器,便携式控制终端,教学与实训系统,氮气机,吸尘器,显示屏,摄像机,交换机,透明展示柜,VR教学终端,电烤枪,服务器硬件平台,底盘装甲喷枪,智慧大屏控制终端,万用表,工具展示架,洗车组合鼓,新能源汽车虚拟仿真实训基地设备及集成,否拟仿真软件,VR教学体验操作台,云授课智能展示系统,否控技术数字化教学资源,否舱系统数字化教学资源,33构与原理三维数字化仿真,动力电34池拆装与检测三维数字化,纯电动汽车整车系统,裁膜工具台,空调检漏堵头工具,汽车刹车油加注机,大灯调试仪,汽车美容耗材柜,汽车美容常用耗材",0.0,南京六合中等专业学校,学校,,南京市公共资源交易中心六合分中心,,北京昌旭未来科技有限公司 ,"王**     15652084399 ,王*     024-23925220 ",5987000.0,2022-09-23,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/362283455/b2,地址北京市海淀区西三环北路89号4层A-09-64号,7 次,"1,954.24 万",4 家
江苏电子信息职业学院现代电子制造技术虚拟仿真实训基地建设项目中标公告,中标,中标结果,江苏电子信息职业学院现代电子制造技术虚拟仿真实训基地建设项目中标公告,,JSEIZB2022-023,虚拟仿真实训基地建设项目,1729300.0,江苏电子信息职业学院,学校,"陈*-13861593932,罗*-0517-83808168",江苏建昊工程咨询有限公司,乔*-13151885223,北京慧科未来科技有限公司 ,,1729300.0,2022-09-22,江苏,淮安,,,,https://www.zhiliaobiaoxun.com/content/362133963/b2,,5 次,273.71 万,4 家
中标（成交）结果公示：江苏农林职业技术学院虚拟宠物化验平台和厌食宠物给药治疗技术虚拟仿真实训系统采购及相关服务,中标,中标结果,中标（成交）结果公示：江苏农林职业技术学院虚拟宠物化验平台和厌食宠物给药治疗技术虚拟仿真实训系统采购及相关服务,,JSNL2022 121,"厌食宠物给药治疗技术虚拟仿真实训系统采购及相关服务,虚拟宠物化验平台",268000.0,江苏农林职业技术学院,学校,"采购人-0511-87290893,孟**-15261865277",,,南京莱医特电子科技有限公司 ,"中标人     025-86529811 ,中标人     18213009192 ,中标人     18251844789 ,陈**     0710-3592319 ,李*     18397911656 ",268000.0,2022-09-22,江苏,镇江,,,,https://www.zhiliaobiaoxun.com/content/362122289/b2,地址南京市雨花台区大周路32号D2南23F,316 次,1.18 亿,123 家
无锡市教育局关于无锡汽车工程高等职业技术学校汽车物流智慧实训设备的中标公告WXJYCG2022-011（2）,中标,中标结果,无锡市教育局关于无锡汽车工程高等职业技术学校汽车物流智慧实训设备的中标公告WXJYCG2022-011（2）,,WXJYCG2022-011（2）,"智慧物流仓储虚拟仿真实训系统平台,仓储管理系统平台WMS,仓储控制系统平台WCS,汽车物流智慧实训设备",0.0,无锡汽车工程高等职业技术学校,学校,采购人-0510-83275792,无锡市教育局集中采购部门,陈**-0510-82730672,江苏华众易教育科技有限公司 ,"中标人     18851161209 ,中标人     025-86421112 ,中标人     18761665785 ",0.0,2022-09-22,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/362202424/b2,地址南京市秦淮区中山东路532-1号南工院金蝶大学科技园F2栋301-2室,24 次,"1,832.41 万",13 家
光辉城市Mars+虚拟仿真软件景观版,中标,中标结果,光辉城市Mars+虚拟仿真软件景观版,,CB103072022000150,虚拟仿真软件景观版,68700.0,南京农业大学,学校,,,,七造（重庆）科技有限公司 ,中标人     023-65067768 ,68700.0,2022-09-21,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/361985797/b2,地址重庆高新区西永街道学城大道62号附2号研发楼一期B2＃1-601,6 次,204.92 万,5 家
南京森林警察学院工控虚拟仿真建设成交公告,中标,中标结果,南京森林警察学院工控虚拟仿真建设成交公告,,QC-2022090678C,工控虚拟仿真建设项目,368000.0,南京森林警察学院,学校,"王**-025-85878721,胡**-025-85878966",江苏柒采招标代理有限公司,代理联系人-025-83370296,南京育安信息科技有限公司 ,,368000.0,2022-09-21,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/362005170/b2,地址南京市栖霞区仙林街道仙林大学城学津路8号高创大厦B座801室,2 次,88.5 万,2 家
江苏卫生健康职业学院1+X幼儿照护职业技能训练虚拟仿真采购项目中标结果公告,中标,中标结果,江苏卫生健康职业学院1+X幼儿照护职业技能训练虚拟仿真采购项目中标结果公告,,XHTC-FW-2022-1299,"新生儿复苏虚拟仿真系统,幼儿中毒急救虚拟仿真实验教学系统,幼儿照护职业技能训练虚拟仿真",100000.0,江苏卫生健康职业学院,学校,钟**-025-68170931,新华招标有限公司,张**-025-83715090,厦门立方幻境科技有限公司 ,"中标人     0592-6021809 ,中标人     18049208539 ,中标人     18965158998 ,中标人     17359466660 ,中标人     18960977315 ",100000.0,2022-09-21,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/362025723/b2,地址厦门火炬高新区创业园创业大厦南508A室,93 次,"4,407.46 万",45 家
金融信息系统审计虚拟仿真系统开发服务项目成交结果公告,中标,中标结果,金融信息系统审计虚拟仿真系统开发服务项目成交结果公告,,JSGC22G7336,金融信息系统审计虚拟仿真系统开发服务项目,195000.0,南京审计大学,学校,许**-025-58318724,江苏国采工程咨询有限公司,陈**-025-83690878,杭州亿学亿用科技有限公司 ,"中标人     18989619189 ,中标人     13915957316 ",195000.0,2022-09-21,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/362024103/b2,地址浙江省杭州市余杭区瓶窑镇观山路11号1幢一楼2372室,11 次,561.34 万,8 家
中标（成交）结果公示：江苏农林职业技术学院生猪宰后检验虚拟仿真实验采购及相关服务,中标,中标结果,中标（成交）结果公示：江苏农林职业技术学院生猪宰后检验虚拟仿真实验采购及相关服务,,JSNL2022 120,生猪宰后检验虚拟仿真实验采购及相关服务,178000.0,江苏农林职业技术学院,学校,"采购人-0511-87290893,连**-17366034016",,,上海冠朋数字科技有限公司 ,,178000.0,2022-09-21,江苏,镇江,,,,https://www.zhiliaobiaoxun.com/content/361998661/b2,地址中国（上海）自由贸易试验区芳春路400号1幢3层,4 次,81.95 万,2 家
