url,公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接,公司地址,招标数量,招标总金额,供应商数量
安徽大学2022年材料科学与工程学院公共平台大型仪器购置（虚拟仿真实验室）项目合同公告,中标,合同,安徽大学2022年材料科学与工程学院公共平台大型仪器购置（虚拟仿真实验室）项目合同公告,,340000211205014000413,"虚拟仿真实验室,实验室仪器,公共平台大型仪器",405800.0,安徽大学,学校,采购人-0551-63861283,,,合肥光腾商贸有限公司 ,"中标人     13637096751 ,韦**     0551-62692065 ",405800.0,2022-09-26,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/363037233/b2,地址合肥市政务区国际花都天香苑4-105,70 次,"3,991.83 万",18 家
安徽审计职业学院2022年数字资源开发服务商入库遴选项目中标（成交）候选人公告,中标,中标结果,安徽审计职业学院2022年数字资源开发服务商入库遴选项目中标（成交）候选人公告,,AHSJXY-ZB20 22002,"虚拟仿真摄制,宣传摄制,数字资源开发服务商入库遴选项目,教学能力大赛摄制,视频拍摄与制作",0.0,安徽审计职业学院,学校,采购人-0551-63671503,,,辽宁向日葵教育科技有限公司 ,"赵*     18674865142 ,中标人     15940167450 ,中标人     18524167985 ,中标人     024-31575055 ,中标人     13654071270 ",0.0 0.0 0.0,2022-09-22,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/362175483/b2,地址沈阳市东陵区上深沟村860-1号C418室,"1,047 次",4.25 亿,369 家
安徽审计职业学院2022年数字资源开发服务商入库遴选项目中标（成交）候选人公告,中标,中标结果,安徽审计职业学院2022年数字资源开发服务商入库遴选项目中标（成交）候选人公告,,AHSJXY-ZB20 22002,"虚拟仿真摄制,宣传摄制,数字资源开发服务商入库遴选项目,教学能力大赛摄制,视频拍摄与制作",0.0,安徽审计职业学院,学校,采购人-0551-63671503,,,北京智学客教育科技有限公司 ,"中标人     18600808486 ,中标人     13866642908 ,中标人     17363176179 ,闫**     18610486740 ,中标人     010-62541780 ",0.0 0.0 0.0,2022-09-22,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/362175483/b2,地址北京市海淀区东冉北街9号A幢四层B区B4007,491 次,1.69 亿,182 家
安徽审计职业学院2022年数字资源开发服务商入库遴选项目中标（成交）候选人公告,中标,中标结果,安徽审计职业学院2022年数字资源开发服务商入库遴选项目中标（成交）候选人公告,,AHSJXY-ZB20 22002,"虚拟仿真摄制,宣传摄制,数字资源开发服务商入库遴选项目,教学能力大赛摄制,视频拍摄与制作",0.0,安徽审计职业学院,学校,采购人-0551-63671503,,,合肥亚慕信息科技有限公司 ,"中标人     15156099109 ,中标人     18297853875 ,中标人     19965018103 ,中标人     18856039870 ,中标人     0551-66197609 ",0.0 0.0 0.0,2022-09-22,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/362175483/b2,地址安徽省合肥市高新区望江西路5089号中国科学技术大学先进技术研究院综合主楼B601,108 次,"3,133.28 万",42 家
安徽水利水电职业技术学院《公路工程施工技术》教学示范课项目虚拟仿真资源采购项目成交公告,中标,中标结果,安徽水利水电职业技术学院《公路工程施工技术》教学示范课项目虚拟仿真资源采购项目成交公告,,ZB202208844,虚拟仿真资源,92500.0,安徽水利水电职业技术学院,学校,采购人-0551-67316332,安徽鼎信项目管理股份有限公司,"代*-15256529263,张**-0551-65860136-8640",西安创美数码科技有限公司 ,"中标人     15029889932 ,中标人     18030826122 ,陈*     18789456464 ,张**     15191892358 ,樊*     029-84235096 ",92500.0,2022-09-19,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/361801791/b2,地址陕西省西安市高新区鱼化街办天谷七路996号国家数字出版基地A座1004室,83 次,"3,835.76 万",24 家
安徽大学2022年材料科学与工程学院公共平台大型仪器购置项目第2包中标结果公告,中标,中标结果,安徽大学2022年材料科学与工程学院公共平台大型仪器购置项目第2包中标结果公告,,FSKY34000120226610号002,"虚拟仿真教学软件,锗晶体,硅晶体,公共平台大型仪器,台式原位X射线吸收精细结构谱仪主机",2020600.0,安徽大学,学校,采购人-0551-63861283,安徽鼎信项目管理股份有限公司,"代理联系人-15156544413,代理联系人-0551-65860136-8634",安徽创谱仪器科技有限公司 ,"陈**     18317094335 ,中标人     0551-65612932 ,中标人     17755192289 ,中标人     0551-65901276 ",2020600.0,2022-09-19,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/361681548/b2,地址合肥高新区皖水路228号1幢八层,46 次,"6,712.87 万",18 家
安徽职业技术学院2022年职业教育示范性虚拟仿真实训基地建设项目合同公告,中标,合同,安徽职业技术学院2022年职业教育示范性虚拟仿真实训基地建设项目合同公告,,340000222420504300001,虚拟仿真实训基地建设项目,6042200.0,安徽职业技术学院,学校,采购人-13956029070,,,安徽卷云信息技术有限公司 ,"中标人     0551-63667429 ,中标人     15805600671 ,王*     18130014336 ,中标人     13866134627 ,中标人     0551-63667428 ",6042200.0,2022-09-13,安徽,,,,,https://www.zhiliaobiaoxun.com/content/360538302/b2,地址合肥市高新区望江西路800号创新创业园D1楼6层南楼607-610室,95 次,1.23 亿,41 家
安徽大学2022年材料科学与工程学院公共平台大型仪器购置（虚拟仿真实验室）中标（成交）结果公告,中标,中标结果,安徽大学2022年材料科学与工程学院公共平台大型仪器购置（虚拟仿真实验室）中标（成交）结果公告,,2022BFAHZ02039,"虚拟仿真实验室,仿真实验管理系统,公共平台大型仪器",405800.0,安徽大学,学校,采购人-0551-63861283,安徽省政府采购中心,"周**-0551-66223865,周**-66223645,李*-66223646,李*-0551-66223645",合肥光腾商贸有限公司 ,"中标人     13637096751 ,韦**     0551-62692065 ",405800.0,2022-09-13,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/360564908/b2,地址合肥市政务区国际花都天香苑4-105,70 次,"3,991.83 万",18 家
阜阳职业技术学院数字实验室建设,中标,合同,阜阳职业技术学院数字实验室建设,,FY2022FS0268,"解剖虚拟仿真教学系统,数字实验室建设",2458900.0,阜阳职业技术学院,学校,采购人-0558-2179185,,,河南中博生物塑化科技有限公司 ,"中标人     0371-86661161 ,中标人     13526604759 ,中标人     13673621894 ,代**     15937135052 ,中标人     15890696673 ",2458900.0,2022-09-13,安徽,阜阳,,,,https://www.zhiliaobiaoxun.com/content/360569885/b2,地址河南省郑州市高新区长椿路11号Y05幢二楼,275 次,2.73 亿,137 家
安徽化工学校污水处理职业技能等级培训虚拟仿真系统项目（二次）合同公告,中标,合同,安徽化工学校污水处理职业技能等级培训虚拟仿真系统项目（二次）合同公告,,CG-AQ-2022-743,"虚拟仿真系统项目,污水处理职业技能等级培训虚拟仿真系统",615000.0,安徽化工学校,学校,成*-0556-5348509,,,安徽亨联贸易发展有限公司 ,,615000.0,2022-09-08,安徽,安庆,,,,https://www.zhiliaobiaoxun.com/content/359199259/b2,地址安徽省合肥市高新区红枫路与科学大道交叉口中瑞大厦科研楼A座5层A区4357,2 次,123.0 万,1 家
