日期,所属集团,酒店名称,保底房型,官网会员价,我方报价
2022-08-25,万豪,青岛威斯汀酒店,"1张特大床,城市景观,客房",1421.00,1359.95
2022-08-25,万豪,青岛威斯汀酒店,"2张双人床,大型客房",1441.00,1378.95
2022-08-25,万豪,青岛威斯汀酒店,"1张特大床,大型客房",1519.00,1453.05
2022-08-25,万豪,青岛威斯汀酒店,"2张双人床,局部海景,行政酒廊礼遇,客房",1605.00,1534.75
2022-08-25,万豪,青岛威斯汀酒店,"1张特大床,城市景观,单卧室套房",1617.00,1546.15
2022-08-25,万豪,青岛威斯汀酒店,"1张特大床,局部海景,行政酒廊礼遇,客房",1683.00,1608.85
2022-08-25,万豪,青岛威斯汀酒店,"1张特大床,行政酒廊礼遇,单卧室精致套房",1781.00,1701.95
2022-08-25,万豪,青岛威斯汀酒店,"行政酒廊礼遇,客房,2张双人床,海洋景观,顶层",1997.00,1907.15
2022-08-25,万豪,青岛威斯汀酒店,"行政酒廊礼遇,客房,1张特大床,海洋景观,高楼层",2118.00,2012.10
2022-08-25,万豪,青岛威斯汀酒店,"行政酒廊礼遇,1卧室大型套房,1张特大床,海洋景观,高楼层",3087.00,2901.78
2022-08-25,万豪,青岛威斯汀酒店,"行政酒廊礼遇,1卧室住宅式套房,1张特大床,城市景观,高楼层",4262.00,4006.28
2022-08-25,万豪,青岛瑞吉酒店,"豪华海景双床房,客房,2张单人床,海洋景观",2456.00,2333.20
2022-08-25,万豪,青岛瑞吉酒店,"豪华海景双床房,客房,2张单人床,海洋景观",2616.00,2485.20
2022-08-25,万豪,青岛瑞吉酒店,"天际海景双床房,客房,2张单人床,海洋景观",2681.00,2546.95
2022-08-25,万豪,青岛瑞吉酒店,"八大关滨海景观大床房,客房,1张特大床,八大关景观,海洋景观",2751.00,2613.45
2022-08-25,万豪,青岛瑞吉酒店,"奥帆海港景观大床房,客房,1张特大床,天际线景观",2798.00,2658.10
2022-08-25,万豪,青岛瑞吉酒店,"天际海景双床房,客房,2张单人床,海洋景观",2845.00,2702.75
2022-08-25,万豪,青岛瑞吉酒店,"八大关滨海景观大床房,客房,1张特大床,八大关景观,海洋景观",2915.00,2769.25
2022-08-25,万豪,青岛瑞吉酒店,"奥帆海港景观大床房,客房,1张特大床,天际线景观",2961.00,2812.95
2022-08-25,万豪,青岛瑞吉酒店,"约翰雅各布阿斯特海景套房,套房,1张特大床,海洋景观",5363.00,5041.22
2022-08-25,万豪,青岛瑞吉酒店,"约翰雅各布阿斯特海景套房,套房,1张特大床,海洋景观",5526.00,5194.44
2022-08-25,万豪,青岛瑞吉酒店,"卡罗琳阿斯特海景套房,1卧室套房,1张特大床,海洋景观",5596.00,5260.24
2022-08-25,万豪,青岛瑞吉酒店,"卡罗琳阿斯特海景套房,1卧室套房,1张特大床,海洋景观",5760.00,5414.40
2022-08-25,万豪,青岛瑞吉酒店,"大都会海景套房,1卧室套房,1张特大床,海洋景观",13992.00,13152.48
2022-08-25,万豪,青岛瑞吉酒店,"总统套房,1张特大床,海洋景观",78888.00,74154.72
2022-08-25,万豪,青岛富力艾美酒店,"2张单人床,客房",815.00,794.25
2022-08-25,万豪,青岛富力艾美酒店,"客房,2张单人床",883.00,858.85
2022-08-25,万豪,青岛富力艾美酒店,"1张特大床,行政酒廊礼遇,客房",1098.00,1053.10
2022-08-25,万豪,青岛富力艾美酒店,"1张特大床,行政酒廊礼遇,单卧室精致套房",2773.00,2634.35
2022-08-25,万豪,青岛富力艾美酒店,"1张特大床,行政酒廊礼遇,大型单卧室套房",3459.00,3251.46
2022-08-25,万豪,黄岛泰成喜来登酒店,"1张特大床,客房",684.00,669.80
2022-08-25,万豪,黄岛泰成喜来登酒店,"客房,1张特大床,城市景观,城市景观",733.00,716.35
2022-08-25,万豪,黄岛泰成喜来登酒店,"1张特大床,海景,客房",782.00,762.90
2022-08-25,万豪,黄岛泰成喜来登酒店,"客房,1张特大床,唐岛湾景观,海洋景观",831.00,809.45
2022-08-25,万豪,黄岛泰成喜来登酒店,"1张特大床,行政酒廊礼遇,客房",978.00,949.10
2022-08-25,万豪,黄岛泰成喜来登酒店,"1张特大床,行政酒廊礼遇,单卧室套房",1076.00,1032.20
