zhTitle,title,cast,year,sourceYear,comment
英雄,hero,,2004,2004," This film is a masterpiece. The use of color is brilliant, the fight scenes (although very unrealistic) are well executed and the plot is told in an amazing way. You get to know each character from different prospective while you unravel theThis film is a masterpiece. The use of color is brilliant, the fight scenes (although very unrealistic) are well executed and the plot is told in an amazing way. You get to know each character from different prospective while you unravel the truth of the story you are told. The meaning of the film is also quite deep if you think about it.For what it concern the acting i think it was great. You can see the range of emotions and skills of almost every actor (except a few that are meant to be quite monodimensional). A masterpiece of style AND substance. Must see.… Expand            "
英雄,hero,,2004,2004," One of the most beautiful and cinematically flooring movies you will ever see.  The director and fight choreographer produced perfection, and I feel this is Jet Li's best movie.            "
英雄,hero,,2004,2004," A beautiful masterstroke from director Zhang Yimou, Hero is a beautifully constructed wuxia film that is infused with history, Chinese culture, honor, and themes of overcoming hate and the pain that can be caused from not conquering thatA beautiful masterstroke from director Zhang Yimou, Hero is a beautifully constructed wuxia film that is infused with history, Chinese culture, honor, and themes of overcoming hate and the pain that can be caused from not conquering that hate. Through this film, Zhang Yimou not only creates a terrifically entertaining martial arts action film, but he also creates a film that is a moving and stirring look at the unification of China and the sacrifices that went into that monumental step.With beautiful cinematography to soak up every inch of the screen, Hero shows an adept use of shot composition and construction to go along with the cinematography. Used in conjunction, the significant moving pieces of each shot and the capturing of those moves creates a truly gorgeous film that is breathtaking to view. From beginning to end, Zhang's film presents a unique and melodic look at its action. Personally, my favorite shot comes when our nameless warrior (Jet Li) enters the palace of the King of Qin (Chen Daoming). The long shots in this sequence are incredible and truly soak up the entirety of the beauty of the location.Additionally, Zhang's constant use of color in the film is incredible, namely in the battle between Flying Snow (Maggie Cheung) and Moon (Zhang Ziyi). The changing color of the leaves is an incredible site and the significance unashamedly escapes me, but is a beautiful use of color all the same. When it comes to the battles, the Zhang's use of color emerges continuously and it is always incredible to view.Now, of course, the main focus of these types of films are the battle sequences. As the film progresses, each battle sequence takes on new meaning, but is always steeped in Chinese culture and the Chinese concept of honor. These ideals, along with the ideals of a warrior, blend perfectly into terrific choreography of each fight with good special effects throughout. For those unfamiliar with wuxia films, seeing people flying can be a bit much. However, Zhang keeps this supernatural element restrained with a deeply human story and deeply human battles. Though they have unusual abilities, their hearts and souls and apparent for all to see.(SPOILERS) Thematically, Hero's beauty is continued with a terrific take on the power of hatred. Driven to assassinate the King of Qin due to the King's killing of his family, the nameless warrior manages to overcome his hatred due to Broken Sword (Tony Leung). Moved by his words, ""Our Land"", the warrior is unable to kill the King because he now understands the motives behind his attempts to unify China. Though he is killed for this, the scene of their mutual understanding is beautiful and wonderfully scripted. However, the film continues on this theme as it shows Flying Snow kill Broken Sword due to his refusal to kill the King. Upon killing her love, she realizes just what her hate brought her: personal anguish. Zhang's execution of this theme is wonderful to watch and underscores the brilliance of Hero, which transcends borders and is a deeply human film, not just one aimed at Chinese audiences.Overall, Hero is a beautifully crafted film that really shows its beauty in its cinematography, color, choreography, and in its themes. This is a masterful film from director Zhang Yimou that showcases all of the best qualities of wuxia genre, while also balancing the more unnatural elements with a deeply human story that is relatable for all.… Expand            "
英雄,hero,,2004,2004," The best martial arts film I have ever seen. The visuals are breathtaking and an experience I will never forget. No other film has impressed me like this with its costumes, visuals, characters, story and soundtrack. It is just a masterpiece.The best martial arts film I have ever seen. The visuals are breathtaking and an experience I will never forget. No other film has impressed me like this with its costumes, visuals, characters, story and soundtrack. It is just a masterpiece. The characters are so perfect that I can’t imagine someone else or someone better suited for the roles. The story is fantastic and will surprise with each new revelation. The fighting scenes are poetic and my reference for the genre (Remark: Not for realistic fighting just for stylish awesomeness and defying of gravity). Overall this is as close to perfection for me as possible.… Expand            "
英雄,hero,,2004,2004," I was very impressed by HERO, the movie runs in a way like Rashomon (Kurosawa's famous masterpiece that came out in 1950) (although under a completely different concept) - almost entirely through flashbacks during narration. Because its aI was very impressed by HERO, the movie runs in a way like Rashomon (Kurosawa's famous masterpiece that came out in 1950) (although under a completely different concept) - almost entirely through flashbacks during narration. Because its a period film about a very much fantastic and romanticized time, the dreamy quality of the photography is brilliantly suited. The look of the film is fabulous, although it sometimes indulges in video game beauty (the fight scene on the lake, the waterfall fight, and the calligraphy sequence that could be a shampoo commercial), just as Zhang the director indulges in melodrama, especially in the second half of the film, which is filled with slow-motion shots of people running and crying and saying goodbye. But the first half is so calmly powerful that I can overlook the overly stretched second half.However it seems to me that the most blatant fault of the film is the dialogue, the dialogues are so cheesy. Of course this is an epic film with a lot of stuff to take care off, and Zhang does something better than the others, but there is no excuse for the amateurish dialogue writing.All that being said, I still think it's one of the great movies that Zhang Yimou made, when he was still trying to make great movies - he used to use Chinese culture, instead of exploiting it. It's a little sad to see what he's doing now, whatever the reasons that he's making those craps for.A beautifully crafted film by Zhang Yimou with a great story and an all star cast. Jet Li, Tony Leung, Maggie Cheung, Zhang Zi Yi and Donnie Yen all performed portrayed their characters in a fine way with style and technique with outstanding stunts and martial arts. Exotic production designs by Tingxiao Huo & Zhenzhou Yi, colorful with dark looking costumes by Emi Wada, beautifully photographed by cinematographer Christopher Doyle, fast & smooth editing by Angie Lam and a relaxing musical score by Tan Dun.The metaphorical use of colors enhances the emotion of each ""chapter"" of the film while telling the audience exactly what the tone of each is as well.Possibly the greatest Kurosawa film not filmed by Kurosawa. Zhang Yimou's masterpiece combines beautiful martial arts action with ingenious Rashomon storytelling in this historical epic.… Expand            "
英雄,hero,,2004,2004, This is one of my all time favourite movies. I forgot to write a review on here so I'm doing it now. This is easily the best looking movie of all time. The action scenes are gorgeous and beautiful to look at. I love the wire fu fight styleThis is one of my all time favourite movies. I forgot to write a review on here so I'm doing it now. This is easily the best looking movie of all time. The action scenes are gorgeous and beautiful to look at. I love the wire fu fight style they use here. The fight scene on water and the fight scene in the leaves is just incredible. I want to make a movie like this one day. This movie makes me want to learn how to.… Expand            
英雄,hero,,2004,2004," jhrsqqeeryyuippouttjkllkjhhgffdsazxccvbnnhtertuiopkkjjij,,,,,,,.....,,,,,,,,,,,,......,,,,,,````````````````````            "
英雄,hero,,2004,2004," Hero is an amazing Chinese epic. Jet Li truly shines in this movie as titular ""Hero"".  The story draws you in to the point where you actually care about these truly awesome characters. The action is filmed perfectly and is well done. BestHero is an amazing Chinese epic. Jet Li truly shines in this movie as titular ""Hero"".  The story draws you in to the point where you actually care about these truly awesome characters. The action is filmed perfectly and is well done. Best martial arts movie I have seen. A+.… Expand            "
英雄,hero,,2004,2004," A true work of art which can mesmerise anyone. Every frame of Hero is designed and presented so beautifully that one watching it forgets to blink the eye. Magnificent and giant artwork is enough to keep you with the movie and increase yourA true work of art which can mesmerise anyone. Every frame of Hero is designed and presented so beautifully that one watching it forgets to blink the eye. Magnificent and giant artwork is enough to keep you with the movie and increase your interest in Chinese history. Lavish yet clean living style of the people and the costumes, not to mention the colours and the way the events are narrated. However, movie is more about the complex love story between two assassins then another one with extreme speed. Essential Chinese arts of Qin, Wéiqí ,Caligraphy and Painting are amazingly blended with the themes while first 3 are expressive shown, Painting is rather subjective to the audience perception of colour work through out the movie. Characters are presented enigmatically, from passionate to the quite ones. Very strong movie with brave artwork and performances.… Expand            "
英雄,hero,,2004,2004, A good story inside a story movie. If you like Yimuo story telling style you may like this one also.            
