公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,中标结果,聊城市技师学院智能制造技术中心焊接虚拟仿真实训设备采购项目中标公示,,LCZFCG-2022-865,焊接虚拟仿真实训设备,0.0,聊城市技师学院,学校,杜**-0635-8503176,山东龙融招投标代理有限公司,徐**-0635-8324616,"潍坊捷飞科技工贸有限公司
武汉湾流科技股份有限公司
济南汇通教学设备有限公司
武汉鑫兆丰昌科技有限公司",,"0.0
690000.0
0.0
0.0",2022-09-23,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/362320749/b2
中标,中标结果,聊城市技师学院智能制造技术中心焊接虚拟仿真实训设备采购项目中标（成交）公告,,SDGP371500000202202000346,焊接虚拟仿真实训设备,690000.0,聊城市技师学院,学校,杜**-0635-8503176,山东龙融招投标代理有限公司聊城分公司,,武汉湾流科技股份有限公司,,690000.0,2022-09-23,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/362281895/b2
中标,中标结果,枣庄职业（技师）学院绿色高端化工虚拟仿真实训基地建设（2期）采购项目成交公告,,SDGP370400000202202000274,"虚拟仿真设备,虚拟仿真软件,虚拟仿真实训基地建设",0.0,枣庄职业学院,学校,采购人-0632-8628229,山东明正招标咨询有限公司,张**-0632-3191678,"济南科明数码技术股份有限公司
山东欧倍尔软件科技有限责任公司",,"611000.0
288800.0",2022-09-21,山东,枣庄,,,,https://www.zhiliaobiaoxun.com/content/362020257/b2
中标,中标结果,济南职业学院机械学院实训设备采购项目,,SDGP370100000202202000841,"虚拟仿真软件,监控系统硬件,实训设备,充电柜,无线路由器,电梯结构与原理软件,虚拟仿真硬件设备,外置显示设备,电梯虚拟仿真工作站,无线数据转化器,直梯维护与保养资源体系软件,扶梯维护与保养资源体系软件,电梯应急救援体系软件,电梯故障处置资源库软件,电梯物联网控制系统学习软件,虚拟仿真无线环境部署及耗材,仿真设备存放",690300.0,济南职业学院,学校,采购人-18660123011,山东兴联项目管理有限公司,刘**-0531-67871600,普林志教育科技（厦门）有限公司,,690300.0,2022-09-21,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/362040118/b2
中标,中标结果,【山东省本级】鲁东大学鲁东大学一流本科专业及“四新”专业建设专用设备采购项目验收报告公开,,SDGP370000000202202000238,"画法几何与机械制图虚拟仿真教学资源包,四新专业建设专用设备,一流本科专业及四新专业建设专用设备",0.0,鲁东大学,学校,采购人-0535-6695483,,,济南科明数码技术股份有限公司,中标人-18668990895,0.0,2022-09-21,山东,烟台,,,,https://www.zhiliaobiaoxun.com/content/362087153/b2
中标,中标结果,【山东省本级】山东师范大学山东师范大学文学院虚拟仿真软件及智慧考试平台开发项目验收报告公开,,SDGP370000000202102010860-B,"虚拟仿真软件,智慧考试平台开发项目",0.0,山东师范大学,学校,采购人-86180857,,,山东敏行电子有限公司,中标人-13793139611,0.0,2022-09-20,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/362087168/b2
中标,中标结果,青岛酒店管理职业技术学院QCHM-PRXY-2022双高27虚拟仿真实训室建设项目（11078）中标（成交）公告,,SDGP370000000202202007849,"虚拟仿真实训室建设项目,虚拟教学实训系统",148900.0,青岛酒店管理职业技术学院,学校,采购人-0532-86051526,山东三木招标有限公司,,青岛齐源成套设备有限公司,,148900.0,2022-09-20,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/361864850/b2
中标,中标结果,【省级】青岛理工大学虚拟仿真实验教学项目中标（成交）公告,,SDGP370000000202202007488,"光量子行走虚拟仿真实验教学项目建设,空间目标监测信息加密电路系统虚拟仿真实验项目建设,城市地下工程控制爆破虚拟仿真实验教学项目建设,安全供水虚拟仿真实验教学项目建设,系统时频域分析与模拟虚拟仿真实验教学项目建设,虚拟仿真实验教学共享平台数据治理与功能提升",0.0,青岛理工大学,学校,采购人-0532-85071780,山东正信招标有限责任公司,荣**-16606356270,"北京润尼尔网络科技有限公司
安徽省科大奥锐科技有限公司
杭州浙大旭日科技开发有限公司
青岛唯唯视界教育科技有限公司",,"588100.0
199000.0
99980.0
199500.0",2022-09-19,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/361697713/b2
中标,中标结果,济南工程职业技术学院智慧建造工法教学实训中心项目,,SDGP370100000202202001174,"智慧建造虚拟仿真教学实训中心,智慧建造工法教学实训中心项目",1193000.0,济南工程职业技术学院,学校,采购人-13791136595,山东瑞宏工程咨询管理有限公司,马**-0531-88288621,济南科明数码技术股份有限公司,,1193000.0,2022-09-19,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/361679105/b2
中标,中标结果,青岛理工大学虚拟仿真实验教学项目中标（成交）公告,,SDGP370000000202202007488,"光量子行走虚拟仿真实验教学项目建设,空间目标监测信息加密电路系统虚拟仿真实验项目建设,城市地下工程控制爆破虚拟仿真实验教学项目建设,安全供水虚拟仿真实验教学项目建设,系统时频域分析与模拟虚拟仿真实验教学项目建设,虚拟仿真实验教学共享平台数据治理与功能提升",0.0,青岛理工大学,学校,采购人-0532-85071780,山东正信招标有限责任公司,荣**-16606356270,"北京润尼尔网络科技有限公司
安徽省科大奥锐科技有限公司
杭州浙大旭日科技开发有限公司
青岛唯唯视界教育科技有限公司",,"588100.0
199000.0
99980.0
199500.0",2022-09-14,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/360879033/b2
中标,合同,济南工程职业技术学院马克思主义学院思政虚拟仿真后续建设项目合同公示,,SDGP370100000202202001171,"思政虚拟仿真后续建设项目,物品",99500.0,济南工程职业技术学院,学校,采购人-0531-86385766,,,山东贝利特信息科技有限公司,中标人-15820098646,99500.0,2022-09-13,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/360565678/b2
中标,合同,【山东省本级】山东建筑大学山东建筑大学绿色建筑材料腐蚀防护与电镀虚拟仿真实验项目合同公开,,SDGP370000000202202006408,"绿色建筑材料腐蚀防护与电镀虚拟仿真实验项目,物品",395500.0,山东建筑大学,学校,采购人-86361800,,,北京易智时代数字科技有限公司,中标人-13911029389,395500.0,2022-09-08,山东,,,,,https://www.zhiliaobiaoxun.com/content/359291392/b2
中标,中标结果,齐河县职业中等专业学校精品资源课建设项目成交公告,,CYGS-QH-20220826,"虚拟仿真教学项目资源,智能制造专业群建设线上精品课程,精品资源课建设项目,智能制造专业群建设线上6门课程数字化资源",0.0,齐河县职业中等专业学校,学校,采购人-18765567423,山东成业工程咨询有限公司,李*-0534-5995987,"山东普布斯信息科技有限公司
上海卓越睿新数码科技股份有限公司",,"159700.0
328000.0",2022-09-08,山东,德州,,,,https://www.zhiliaobiaoxun.com/content/359290467/b2
中标,中标结果,济南工程职业技术学院马克思主义学院思政虚拟仿真后续建设项目,,SDGP370100000202202001171,思政虚拟仿真后续建设项目,99500.0,济南工程职业技术学院,学校,采购人-13791136595,山东瑞宏工程咨询管理有限公司,马**-0531-88288621,山东贝利特信息科技有限公司,,99500.0,2022-09-07,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/358986408/b2
中标,合同,【山东省本级】菏泽医学专科学校菏泽医学专科学校医学影像技术虚拟仿真实训室建设合同公开,,SDGP370000000202202006416,"医学影像技术虚拟仿真实训室建设,行业应用软件",900000.0,菏泽医学专科学校,学校,庞**-0530-5925730,,,山东学教商贸有限公司,中标人-19862563659,900000.0,2022-09-06,山东,菏泽,,,,https://www.zhiliaobiaoxun.com/content/358681476/b2
中标,中标结果,山东信息职业技术学院虚拟仿真研创中心资源制作设备采购项目中标（成交）公告,,SDGP370000000202202006751,虚拟仿真研创中心资源制作设备,1156570.0,山东信息职业技术学院,学校,采购人-0536-2958168,山东世纪华都工程咨询有限公司,代理联系人-15306460729,山东浩索信息科技有限公司,,1156570.0,2022-09-05,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/358431104/b2
中标,中标结果,山东信息职业技术学院虚拟仿真战场环境模拟实训室建设项目（一）中标（成交）公告,,SDGP370000000202202006754,虚拟仿真战场环境模拟实训室建设项目,1840000.0,山东信息职业技术学院,学校,采购人-0536-2958168,山东世纪华都工程咨询有限公司,代理联系人-15306460729,山东柒达智能科技有限公司,,1840000.0,2022-09-05,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/358430969/b2
中标,合同,聊城市职业技能公共实训基地智慧建造技术实训中心虚拟仿真实训教室设备采购项目合同公示,,SDGP371500000202202000489,"虚拟仿真实训教室设备,服务器",2784000.0,聊城市技师学院,学校,采购人-18596350860,,,北京磁力波教育科技有限公司,中标人-15832055716,2784000.0,2022-09-05,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/358441658/b2
中标,中标结果,山东信息职业技术学院虚拟仿真战场环境模拟实训室建设项目（二）中标（成交）公告,,SDGP370000000202202006753,虚拟仿真战场环境模拟实训室建设项目,485000.0,山东信息职业技术学院,学校,采购人-0536-2958168,山东世纪华都工程咨询有限公司,代理联系人-15306460729,山东比特律动信息科技有限公司,,485000.0,2022-09-05,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/358431275/b2
中标,中标结果,山东信息职业技术学院集成电路虚拟仿真实训室建设项目中标（成交）公告,,SDGP370000000202202006740,集成电路虚拟仿真实训室建设项目,1266000.0,山东信息职业技术学院,学校,采购人-0536-2958168,山东盛和招标代理有限公司,沈*-0536-8906157,山东教友信息科技有限公司,,1266000.0,2022-09-05,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/358431168/b2
中标,合同,【山东省本级】山东信息职业技术学院山东信息职业技术学院实网攻防靶场虚拟仿真实训室建设项目合同公开,,SDGP370000000202202005677,"实网攻防靶场虚拟仿真实训室建设项目,教学专用仪器",595000.0,山东信息职业技术学院,学校,采购人-13626366126,,,山东谷联网络技术有限公司,王**-15605319913,595000.0,2022-09-02,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/357664414/b2
