公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接,公司地址,招标数量,招标总金额,供应商数量
中标,中标结果,聊城市技师学院智能制造技术中心焊接虚拟仿真实训设备采购项目中标公示,,LCZFCG-2022-865,焊接虚拟仿真实训设备,0.0,聊城市技师学院,学校,杜**-0635-8503176,山东龙融招投标代理有限公司,徐**-0635-8324616,潍坊捷飞科技工贸有限公司 ,"中标人     13805366648 ,中标人     0536-8802766 ,马*     13145367617 ,刘**     15165626739 ,姜**     18663613651 ",0.0 690000.0 0.0 0.0,2022-09-23,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/362320749/b2,地址潍坊市奎文区潍州路以西，玉泉街以南中国北王国际汽配城1号楼A102号,376 次,2.11 亿,64 家
中标,中标结果,聊城市技师学院智能制造技术中心焊接虚拟仿真实训设备采购项目中标公示,,LCZFCG-2022-865,焊接虚拟仿真实训设备,0.0,聊城市技师学院,学校,杜**-0635-8503176,山东龙融招投标代理有限公司,徐**-0635-8324616,武汉湾流科技股份有限公司 ,"中标人     027-86638870 ,晏**     18802727909 ,任**     027-86638851 ,中标人     15871179359 ,中标人     18665970600 ",0.0 690000.0 0.0 0.0,2022-09-23,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/362320749/b2,地址武汉市东湖开发区汤逊湖北路33号华工科技园.创新基地16栋2层B号,182 次,1.68 亿,88 家
中标,中标结果,聊城市技师学院智能制造技术中心焊接虚拟仿真实训设备采购项目中标公示,,LCZFCG-2022-865,焊接虚拟仿真实训设备,0.0,聊城市技师学院,学校,杜**-0635-8503176,山东龙融招投标代理有限公司,徐**-0635-8324616,济南汇通教学设备有限公司 ,中标人     13605317036 ,0.0 690000.0 0.0 0.0,2022-09-23,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/362320749/b2,地址济南市天桥区北辛工业园17号,27 次,925.75 万,16 家
中标,中标结果,聊城市技师学院智能制造技术中心焊接虚拟仿真实训设备采购项目中标公示,,LCZFCG-2022-865,焊接虚拟仿真实训设备,0.0,聊城市技师学院,学校,杜**-0635-8503176,山东龙融招投标代理有限公司,徐**-0635-8324616,武汉鑫兆丰昌科技有限公司 ,"中标人     18627815599 ,中标人     18986081199 ,中标人     13797884498 ,刘**     027-85880088 ,中标人     13886165599 ",0.0 690000.0 0.0 0.0,2022-09-23,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/362320749/b2,地址武汉市硚口区古田二路长丰乡长丰村19栋1层12室7号,57 次,"3,887.29 万",27 家
中标,中标结果,聊城市技师学院智能制造技术中心焊接虚拟仿真实训设备采购项目中标（成交）公告,,SDGP371500000202202000346,焊接虚拟仿真实训设备,690000.0,聊城市技师学院,学校,杜**-0635-8503176,山东龙融招投标代理有限公司聊城分公司,,武汉湾流科技股份有限公司 ,"中标人     027-86638870 ,晏**     18802727909 ,任**     027-86638851 ,中标人     15871179359 ,中标人     18665970600 ",690000.0,2022-09-23,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/362281895/b2,地址武汉市东湖开发区汤逊湖北路33号华工科技园.创新基地16栋2层B号,182 次,1.68 亿,88 家
中标,中标结果,枣庄职业（技师）学院绿色高端化工虚拟仿真实训基地建设（2期）采购项目成交公告,,SDGP370400000202202000274,"虚拟仿真设备,虚拟仿真软件,虚拟仿真实训基地建设",0.0,枣庄职业学院,学校,采购人-0632-8628229,山东明正招标咨询有限公司,张**-0632-3191678,济南科明数码技术股份有限公司 ,"中标人     18668990895 ,中标人     15990900338 ,胡**     0531-88693898 ,范**     0531-88693897 ,陈*     18668990882 ",611000.0 288800.0,2022-09-21,山东,枣庄,,,,https://www.zhiliaobiaoxun.com/content/362020257/b2,地址山东省济南市高新区舜华路2000号舜泰广场9号楼14层B区1401室,290 次,1.93 亿,102 家
中标,中标结果,枣庄职业（技师）学院绿色高端化工虚拟仿真实训基地建设（2期）采购项目成交公告,,SDGP370400000202202000274,"虚拟仿真设备,虚拟仿真软件,虚拟仿真实训基地建设",0.0,枣庄职业学院,学校,采购人-0632-8628229,山东明正招标咨询有限公司,张**-0632-3191678,山东欧倍尔软件科技有限责任公司 ,"中标人     15668332821 ,中标人     13718217218 ,中标人     13698641046 ,中标人     0531-55533385 ,中标人     0591-87679352 ",611000.0 288800.0,2022-09-21,山东,枣庄,,,,https://www.zhiliaobiaoxun.com/content/362020257/b2,地址山东省济南市市中区经十路22068号山东出版智能产业大厦10楼1009,56 次,"1,964.86 万",36 家
中标,中标结果,济南职业学院机械学院实训设备采购项目,,SDGP370100000202202000841,"虚拟仿真软件,监控系统硬件,实训设备,充电柜,无线路由器,电梯结构与原理软件,虚拟仿真硬件设备,外置显示设备,电梯虚拟仿真工作站,无线数据转化器,直梯维护与保养资源体系软件,扶梯维护与保养资源体系软件,电梯应急救援体系软件,电梯故障处置资源库软件,电梯物联网控制系统学习软件,虚拟仿真无线环境部署及耗材,仿真设备存放",690300.0,济南职业学院,学校,采购人-18660123011,山东兴联项目管理有限公司,刘**-0531-67871600,普林志教育科技（厦门）有限公司 ,中标人     13600922592 ,690300.0,2022-09-21,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/362040118/b2,地址中国（福建）自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元X,10 次,785.28 万,6 家
中标,中标结果,【山东省本级】鲁东大学鲁东大学一流本科专业及“四新”专业建设专用设备采购项目验收报告公开,,SDGP370000000202202000238,"画法几何与机械制图虚拟仿真教学资源包,四新专业建设专用设备,一流本科专业及四新专业建设专用设备",0.0,鲁东大学,学校,采购人-0535-6695483,,,济南科明数码技术股份有限公司 ,"中标人     18668990895 ,中标人     15990900338 ,胡**     0531-88693898 ,范**     0531-88693897 ,陈*     18668990882 ",0.0,2022-09-21,山东,烟台,,,,https://www.zhiliaobiaoxun.com/content/362087153/b2,地址山东省济南市高新区舜华路2000号舜泰广场9号楼14层B区1401室,290 次,1.93 亿,102 家
中标,中标结果,【山东省本级】山东师范大学山东师范大学文学院虚拟仿真软件及智慧考试平台开发项目验收报告公开,,SDGP370000000202102010860-B,"虚拟仿真软件,智慧考试平台开发项目",0.0,山东师范大学,学校,采购人-86180857,,,山东敏行电子有限公司 ,中标人     13793139611 ,0.0,2022-09-20,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/362087168/b2,地址山东省济南市市中区二环南路3377号绿地新都会A1地块3号楼702室,53 次,711.59 万,21 家
