date,name,price,type
2022-08-07,青岛威斯汀酒店;TheWestinQingdao,"1,849",万豪
2022-08-07,青岛瑞吉酒店;TheSt.RegisQingdao,"3,038",万豪
2022-08-07,青岛李沧绿城喜来登酒店;SheratonQingdaoLicangHotel,789,万豪
2022-08-07,黄岛泰成喜来登酒店;SheratonHuangdaoHotel,"1,108",万豪
2022-08-07,"青岛城阳宝龙福朋喜来登酒店;FourPointsbySheratonQingdao,Chengyang",607,万豪
2022-08-07,青岛胶州绿城喜来登酒店;SheratonQingdaoJiaozhouHotel,529,万豪
2022-08-07,青岛天一仁和智选假日酒店,472.62,万州
2022-08-07,青岛金水智选假日酒店,0,万州
2022-08-07,青岛金水皇冠假日酒店,0,万州
2022-08-07,青岛金水套房假日酒店,0,万州
2022-08-07,青岛国际院士港华邑酒店,1017.15,万州
2022-08-07,青岛国际院士港voco酒店,0,万州
2022-08-07,青岛世园假日酒店,677.12,万州
2022-08-07,青岛国际创新园智选假日酒店,0,万州
2022-08-07,青岛中心假日酒店,0,万州
2022-08-07,青岛中心智选假日酒店,788.24,万州
2022-08-07,青岛颐中皇冠假日酒店,0,万州
2022-08-07,青岛海尔洲际酒店,0,万州
2022-08-07,青岛海泉湾皇冠假日度假酒店,531.76,万州
2022-08-07,青岛西海岸智选假日酒店,0,万州
2022-08-07,青岛东方影都皇冠假日酒店,0,万州
2022-08-08,青岛威斯汀酒店;TheWestinQingdao,"2,269",万豪
2022-08-08,青岛瑞吉酒店;TheSt.RegisQingdao,"3,332",万豪
2022-08-08,青岛富力艾美酒店;LeMéridienQingdao,"1,371",万豪
2022-08-08,黄岛泰成喜来登酒店;SheratonHuangdaoHotel,"16,388",万豪
2022-08-08,"青岛城阳宝龙福朋喜来登酒店;FourPointsbySheratonQingdao,Chengyang",672,万豪
2022-08-08,青岛胶州绿城喜来登酒店;SheratonQingdaoJiaozhouHotel,587,万豪
2022-08-08,青岛天一仁和智选假日酒店,551.52,万州
2022-08-08,青岛金水智选假日酒店,0,万州
2022-08-08,青岛金水皇冠假日酒店,0,万州
2022-08-08,青岛金水套房假日酒店,0,万州
2022-08-08,青岛国际院士港华邑酒店,982.85,万州
2022-08-08,青岛国际院士港voco酒店,0,万州
2022-08-08,青岛世园假日酒店,779.24,万州
2022-08-08,青岛国际创新园智选假日酒店,0,万州
2022-08-08,青岛中心假日酒店,1395.64,万州
2022-08-08,青岛中心智选假日酒店,0,万州
2022-08-08,青岛颐中皇冠假日酒店,0,万州
2022-08-08,青岛海尔洲际酒店,0,万州
2022-08-08,青岛海泉湾皇冠假日度假酒店,623.76,万州
2022-08-08,青岛西海岸智选假日酒店,0,万州
2022-08-08,青岛东方影都皇冠假日酒店,0,万州
2022-08-09,青岛威斯汀酒店;TheWestinQingdao,"2,160",万豪
2022-08-09,青岛瑞吉酒店;TheSt.RegisQingdao,"2,744",万豪
2022-08-09,青岛富力艾美酒店;LeMéridienQingdao,"1,371",万豪
2022-08-09,黄岛泰成喜来登酒店;SheratonHuangdaoHotel,"1,343",万豪
2022-08-09,"青岛城阳宝龙福朋喜来登酒店;FourPointsbySheratonQingdao,Chengyang",831,万豪
2022-08-09,青岛胶州绿城喜来登酒店;SheratonQingdaoJiaozhouHotel,587,万豪
