公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,合同,安徽大学2022年材料科学与工程学院公共平台大型仪器购置（虚拟仿真实验室）项目合同公告,,340000211205014000413,"虚拟仿真实验室,实验室仪器,公共平台大型仪器",405800.0,安徽大学,学校,采购人-0551-63861283,,,合肥光腾商贸有限公司,中标人-13637096751,405800.0,2022-09-26,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/363037233/b2
中标,中标结果,安徽审计职业学院2022年数字资源开发服务商入库遴选项目中标（成交）候选人公告,,AHSJXY-ZB20 22002,"虚拟仿真摄制,宣传摄制,数字资源开发服务商入库遴选项目,教学能力大赛摄制,视频拍摄与制作",0.0,安徽审计职业学院,学校,采购人-0551-63671503,,,"辽宁向日葵教育科技有限公司
北京智学客教育科技有限公司
合肥亚慕信息科技有限公司",,"0.0
0.0
0.0",2022-09-22,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/362175483/b2
中标,中标结果,安徽水利水电职业技术学院《公路工程施工技术》教学示范课项目虚拟仿真资源采购项目成交公告,,ZB202208844,虚拟仿真资源,92500.0,安徽水利水电职业技术学院,学校,采购人-0551-67316332,安徽鼎信项目管理股份有限公司,"代*-15256529263,张**-0551-65860136-8640",西安创美数码科技有限公司,,92500.0,2022-09-19,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/361801791/b2
中标,中标结果,安徽大学2022年材料科学与工程学院公共平台大型仪器购置项目第2包中标结果公告,,FSKY34000120226610号002,"虚拟仿真教学软件,锗晶体,硅晶体,公共平台大型仪器,台式原位X射线吸收精细结构谱仪主机",2020600.0,安徽大学,学校,采购人-0551-63861283,安徽鼎信项目管理股份有限公司,"代理联系人-15156544413,代理联系人-0551-65860136-8634",安徽创谱仪器科技有限公司,,2020600.0,2022-09-19,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/361681548/b2
中标,合同,安徽职业技术学院2022年职业教育示范性虚拟仿真实训基地建设项目合同公告,,340000222420504300001,虚拟仿真实训基地建设项目,6042200.0,安徽职业技术学院,学校,采购人-13956029070,,,安徽卷云信息技术有限公司,中标人-0551-63667429,6042200.0,2022-09-13,安徽,,,,,https://www.zhiliaobiaoxun.com/content/360538302/b2
中标,中标结果,安徽大学2022年材料科学与工程学院公共平台大型仪器购置（虚拟仿真实验室）中标（成交）结果公告,,2022BFAHZ02039,"虚拟仿真实验室,仿真实验管理系统,公共平台大型仪器",405800.0,安徽大学,学校,采购人-0551-63861283,安徽省政府采购中心,"周**-0551-66223865,周**-66223645,李*-66223646,李*-0551-66223645",合肥光腾商贸有限公司,,405800.0,2022-09-13,安徽,合肥,,,,https://www.zhiliaobiaoxun.com/content/360564908/b2
中标,合同,阜阳职业技术学院数字实验室建设,,FY2022FS0268,"解剖虚拟仿真教学系统,数字实验室建设",2458900.0,阜阳职业技术学院,学校,采购人-0558-2179185,,,河南中博生物塑化科技有限公司,中标人-13526604759,2458900.0,2022-09-13,安徽,阜阳,,,,https://www.zhiliaobiaoxun.com/content/360569885/b2
中标,合同,安徽化工学校污水处理职业技能等级培训虚拟仿真系统项目（二次）合同公告,,CG-AQ-2022-743,"虚拟仿真系统项目,污水处理职业技能等级培训虚拟仿真系统",615000.0,安徽化工学校,学校,成*-0556-5348509,,,安徽亨联贸易发展有限公司,,615000.0,2022-09-08,安徽,安庆,,,,https://www.zhiliaobiaoxun.com/content/359199259/b2
中标,中标结果,阜阳职业技术学院人体解剖学一体化数字实验室建设采购项目成交结果公告,,FY2022FS0268,"解剖虚拟仿真教学系统,人体解剖学一体化数字实验室建设",2458900.0,阜阳职业技术学院,学校,,安徽金阳造价咨询有限公司,"高**-13705585051,张**-0558-2179185",河南中博生物塑化科技有限公司,,2458900.0,2022-09-08,安徽,阜阳,,,,https://www.zhiliaobiaoxun.com/content/359278841/b2
中标,中标结果,亳州职业技术学院中医虚拟仿真中心,,,中医虚拟仿真中心,400000.0,亳州职业技术学院,学校,,,,亳州市华康医疗用品销售有限公司,,400000.0,2022-09-06,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/358663162/b2
中标,合同,亳州职业技术学院中医虚拟仿真中心合同公告,,BZSJ2022CG151,"中医虚拟仿真中心,教学设备,3D铜人-VR针刺",400000.0,亳州职业技术学院,学校,采购人-0558-3319835,,,亳州市华康医疗用品销售有限公司,马*-17356777669,400000.0,2022-09-06,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/358603535/b2
中标,中标结果,[市辖区]教学设备购置-2022年虚拟仿真平台代理机构确认公告,,,"虚拟仿真平台代理机构,教学设备",0.0,安徽机电职业技术学院,学校,采购人-0553-5972831,安徽省招标集团股份有限公司,"孟**-13966799962,孟**-15155128819",,,,2022-09-06,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/358605966/b2
中标,合同,亳州职业技术学院护理虚拟仿真软件项目合同公告,,BZSJ2022CG154,"护理虚拟仿真软件项目,病情观察和护理虚拟仿真系统",270000.0,亳州职业技术学院,学校,采购人-0558-3319835,,,亳州市华康医疗用品销售有限公司,马*-17356777669,270000.0,2022-09-05,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/358388984/b2
中标,中标结果,亳州职业技术学院护理虚拟仿真软件项目,,,护理虚拟仿真软件项目,270000.0,亳州职业技术学院,学校,,,,亳州市华康医疗用品销售有限公司,,270000.0,2022-09-05,安徽,亳州,,,,https://www.zhiliaobiaoxun.com/content/358431752/b2
中标,合同,2022年安徽师范大学高水平大学建设项目四期（四包）的合同公告,,FSKY34000120225132号,"运动生理学虚拟仿真实验平台,高水平大学建设项目",689600.0,安徽师范大学,学校,王**-0553-5910277,江苏大成工程咨询有限公司,,上海梦之路数字科技有限公司,中标人-021-38953200,689600.0,2022-09-05,安徽,芜湖,,,,https://www.zhiliaobiaoxun.com/content/358310561/b2
