公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,中标结果,濮阳医学高等专科学校医学影像实验实训室一期建设项目,,濮财市直招标采购-2022-44,"DR检查技术虚拟仿真系统,医学影像实验实训室一期建设项目,CT仿真教学模拟机",0.0,濮阳医学高等专科学校,学校,饶**-16639395875,中科经纬工程技术有限公司,陈**-15939393260,"河南云泰物资有限公司
濮阳市家昌网络科技有限公司",,"1479000.0
546390.0",2022-09-29,河南,濮阳,,,,https://www.zhiliaobiaoxun.com/content/363886348/b2
中标,中标结果,郑州大学机械与动力工程学院弧线焊缝机器人运动学仿真系统采购项目,,郑大-询价-2022-0021,"弧线焊缝机器人运动学仿真系统,虚拟焊接仿真系统",382500.0,郑州大学机械与动力工程学院,学校,邓**-13613820332,,,郑州中业科技股份有限公司,中标人-15637196953,382500.0,2022-09-29,河南,,,,,https://www.zhiliaobiaoxun.com/content/363871498/b2
中标,中标结果,河南推拿职业学院针灸推拿虚拟仿真实训室建设项目-验收报告公示,,豫财招标采购-2022-502,"针灸推拿虚拟仿真实训室建设项目,中医器械设备",0.0,河南推拿职业学院,学校,杨**-65199317,,,河南德信伟业科技有限公司,李*-13937192188,0.0,2022-09-27,河南,洛阳,,,,https://www.zhiliaobiaoxun.com/content/363373639/b2
中标,中标结果,微实云服务续费（无线电探测与定位虚拟仿真实验）,,HITZG-20221642,"无线电探测与定位虚拟仿真实验,微实云服务续费",25000.0,电子与信息工程学院,学校,张*-15636009276,,,哈尔滨云铭科技发展有限公司,,25000.0,2022-09-26,河南,,,,,https://www.zhiliaobiaoxun.com/content/363168151/b2
中标,中标结果,河南农业职业学院现代农业职业教育虚拟仿真实训基地建设项目,,豫财招标采购-2022-819,"虚拟仿真实训基地建设项目,物品",2425000.0,河南农业职业学院,学校,孙*-0396-67290682,,,河南启辰信息技术有限公司,李**-0371-62186855,2425000.0,2022-09-26,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/363075534/b2
中标,中标结果,河南经贸职业学院智慧物流虚拟仿真实训基地建设项目-中标公告,,豫财招标采购-2022-957,智慧物流虚拟仿真实训基地建设项目,2529860.0,河南经贸职业学院,学校,王**-0371-86660417,河南省伟信招标管理咨询有限公司,李**-0371-60386152,河南新世纪拓普电子技术有限公司,,2529860.0,2022-09-24,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/363922052/b2
中标,中标结果,河南经贸职业学院智慧物流虚拟仿真实训基地建设项目-中标公告,,豫财招标采购-2022-957,智慧物流虚拟仿真实训基地建设项目,2529860.0,河南经贸职业学院,学校,王**-0371-86660417,河南省伟信招标管理咨询有限公司,李**-0371-60386152,河南新世纪拓普电子技术有限公司,,2529860.0,2022-09-23,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/362371777/b2
中标,中标结果,河南省儿童医院郑州儿童医院医师临床模拟教学智能化教具设备项目-中标公告,,郑财招标采购-2022-223,"上下消化道镜虚拟仿真训练设备,临床模拟教学智能化教具设备项目,腹腔镜超仿真虚拟训练设备,腹腔镜手术训练分析系统,VR麻醉危机处置训练评估系统",8606000.0,河南省儿童医院郑州儿童医院,医院,,河南省信人工程造价咨询有限公司,"刘*-0371-85515732,赵**-18695869593,张**-0371-63899156",国药控股河南股份有限公司,,8606000.0,2022-09-23,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/362317473/b2
中标,中标结果,河南物流职业学院数智财务虚拟仿真实训基地项目,,豫财磋商采购-2022-786,"数智财务虚拟仿真实训基地项目,物品",1267000.0,河南物流职业学院,学校,姜**-0371-63846170,,,河南思之源科技有限公司,李*-13462821119,1267000.0,2022-09-21,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/362034075/b2
中标,中标结果,河南物流职业学院数智财务虚拟仿真实训基地项目,,豫财磋商采购-2022-786,"数智财务虚拟仿真实训基地项目,物品,嵌入式软件,钢木台,台式计算机,桌类",378360.0,河南物流职业学院,学校,姜**-0371-63846170,,,河南创力电子有限公司,宋**-13598823301,378360.0,2022-09-21,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/362034111/b2
中标,中标结果,郑州铁路职业技术学院高速铁路行车虚拟仿真实训基地（双高校建设项目）项目-成交公告,,豫财招标采购-2022-816 1.2,"高速铁路行车虚拟仿真实训基地双高校建设项目,视频监控及录播系统,智能引导机器人,微机联锁仿真设备,乘务员自助出退勤一体机,出退勤调度台,操控台,高清激光互动投影仪,动车组车辆电子沙盘,工电供作业一体化实训系统,CTCS23系统仿真系统,供电调度指挥仿真系统,工电供MR仿真系统,动车组操作台,和谐电机车操作台,高速列车数字沙盘,行车凭证综合演练模块,基地智能管理控制系统,线路施工联合演练模块,教学管理与分析系统,实训演练项目,形部展示台,动力集中型动车组操纵台,全息机车及走形部展示,集中型动车组操纵台普速列车数,豫政采字沙盘,楼系统,岗位实训教程",13000000,郑州铁路职业技术学院,学校,王**-0371-60867917,河南英华咨询有限公司,"崔**-15936004644,石**-0371-63940338","郑州畅想高科股份有限公司
动开发区金高科股份有限公司",,"12787000
0.0",2022-09-21,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/362032218/b2
中标,中标结果,濮阳医学高等专科学校药学虚拟仿真平台建设项目,,濮财市直竞谈-2022-24,"药学虚拟仿真平台建设项目,医疗设备",556800.0,濮阳医学高等专科学校,学校,何**-16639395981,,,北京诺诚佳华教育科技有限公司,陈**-18510204499,556800.0,2022-09-20,河南,濮阳,,,,https://www.zhiliaobiaoxun.com/content/363793924/b2
中标,中标结果,郑州工业技师学院2020-2021学年高水平专业群建设项目A包智慧矿山虚拟仿真工程及网络系统提升工程扩建项目补...,,豫财招标采购-2021-541,"智慧矿山虚拟仿真工程,计算机设备及软件,高水平专业群建设项目,机房辅助设备,网络系统提升工程扩建项目",193684.0,郑州工业技师学院,学校,陈*-0371-62607030,,,郑州云鑫垚科技有限公司,程**-15010365897,193684.0,2022-09-20,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/361863769/b2
中标,中标结果,郑州轻工业大学VR虚拟仿真交互实验室项目,,豫财磋商采购-2022-435,"VR虚拟仿真交互实验室项目,仪器仪表",499000.0,郑州轻工业大学,学校,张**-0371-86608291,,,河南双之枫电子科技有限公司,李**-0371-63346616,499000.0,2022-09-19,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/361735367/b2
中标,中标结果,郑州大学土木工程学院建筑工程火灾安全虚拟仿真实验项目,,郑大-竞磋-2021-0128,"建筑工程火灾安全虚拟仿真实验项目,建筑工程火灾安全虚拟仿真试验项目",399000.0,郑州大学土木工程学院,学校,楚**-13849085012,,,北京强尼科技有限公司,中标人-13260100637,399000.0,2022-09-19,河南,,,,,https://www.zhiliaobiaoxun.com/content/361740463/b2
中标,中标结果,郑州轻工业大学VR虚拟仿真交互实验室项目,,豫财磋商采购-2022-435,"VR虚拟仿真交互实验室项目,仪器仪表",676000.0,郑州轻工业大学,学校,张**-0371-86608291,,,河南天健厚德科技有限公司,郭**-0371-63060159,676000.0,2022-09-19,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/361735366/b2
中标,中标结果,【平公资采20221009号】河南质量工程职业学院思政教育虚拟仿真教学中心提档升级项目-成交公告,,2022-08-231,虚拟仿真教学中心提档升级项目,560000.0,河南质量工程职业学院,学校,马**-0375-7668752,河南慧霖工程管理服务有限公司,"孙**-0375-6161678,孙**-19939037748",洛阳睿禾信息科技有限公司,,560000.0,2022-09-19,河南,平顶山,,,,https://www.zhiliaobiaoxun.com/content/361729910/b2
中标,中标结果,河南省研学旅行虚拟仿真实验教学实训基地建设项目成交公告,,ZZMC-2022-142,虚拟仿真实验教学实训基地建设项目,363800.0,河南大学,学校,张**-0371-22196418,河南省中安民诚工程咨询有限公司,"郑**-0371-67177749-8012,韩**-13938534949",江苏非凡智旅信息技术有限公司,,363800.0,2022-09-15,河南,开封,,,,https://www.zhiliaobiaoxun.com/content/361045124/b2
