公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,合同,虚拟仿真服装数字实验室建设项目采购的合同,,,虚拟仿真服装数字实验室建设项目,0.0,绍兴市柯桥区职业教育中心,政府及事业单位,,,,绍兴东致信息工程有限公司,,0.0,2022-09-26,浙江,绍兴,,,,https://www.zhiliaobiaoxun.com/content/363150794/b2
中标,合同,浙江特殊教育职业学院非遗专业群虚拟仿真实训基地建设项目的合同,,,虚拟仿真实训基地建设项目,0.0,浙江特殊教育职业学院,学校,,,,江苏一鼎堂软件科技有限公司,,0.0,2022-09-26,浙江,,,,,https://www.zhiliaobiaoxun.com/content/363080968/b2
中标,合同,浙江特殊教育职业学院非遗专业群虚拟仿真实训基地建设项目的合同公告,,CTZB-2022070555,虚拟仿真实训基地建设项目,2156000.0,浙江特殊教育职业学院,学校,采购人-18067952166,浙江省成套招标代理有限公司,,江苏一鼎堂软件科技有限公司,中标人-18072883089,2156000.0,2022-09-26,浙江,,,,,https://www.zhiliaobiaoxun.com/content/363031240/b2
中标,合同,虚拟仿真服装数字实验室建设项目采购的合同公告,,绍柯采[2022]2271号,虚拟仿真服装数字实验室建设项目,684970.0,绍兴市柯桥区职业教育中心,政府及事业单位,葛**-0575-85682111,绍兴市鼎正建设工程咨询有限公司,,绍兴东致信息工程有限公司,中标人-18966097107,684970.0,2022-09-26,浙江,绍兴,,,,https://www.zhiliaobiaoxun.com/content/363125950/b2
中标,验收公告,杭州师范大学思想政治理论课沉浸式虚拟仿真实验室建设项目履约验收公告,,HZNU-2021146,沉浸式虚拟仿真实验室建设项目,790000.0,杭州师范大学,学校,张*-0571-28865850,,,青岛同创信息科技有限公司,,688340.0,2022-09-23,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/362345080/b2
中标,合同,东阳市技术学校机电设备采购项目的合同公告,,DYCG2022-A077,"电气自动化虚拟仿真系统,机床电气控制线路排故实训平台,机电设备,电工技能与实验仿真教学软件",294800.0,东阳市技术学校,学校,张*-0579-86389704,金华市公共资源交易中心东阳分中心,,浙江新工科教育科技有限公司,中标人-18069897089,294800.0,2022-09-23,浙江,金华,,,,https://www.zhiliaobiaoxun.com/content/362276842/b2
中标,合同,实验安全教育及氟硅钴产业动画演示虚拟仿真项目的合同,,,"氟硅钴产业动画演示虚拟仿真项目,实验安全教育",0.0,衢州学院,学校,,,,杭州百子尖科技股份有限公司,,0.0,2022-09-21,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/362124780/b2
中标,合同,实验安全教育及氟硅钴产业动画演示虚拟仿真项目的合同公告,,衢院招2022-40,"氟硅钴产业动画演示虚拟仿真项目,实验室安全虚拟现实3D培训考试系统,实验安全教育,实验室安全VR系统,HSE双重预防体系",790000.0,衢州学院,学校,采购人-13587037182,,,杭州百子尖科技股份有限公司,中标人-13732296098,790000.0,2022-09-21,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/362021624/b2
中标,验收公告,杭州师范大学虚拟仿真建设履约验收公告,,HZNU-2021094,虚拟仿真建设,1500000.0,杭州师范大学,学校,赵*-0571-28865077,,,广东一晨科技有限公司,,1395000.0,2022-09-20,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/362019957/b2
中标,合同,浙江工商职业技术学院三维数字化技术虚拟仿真（VR）模具拆装系统项目（重发）的合同,,,三维数字化技术虚拟仿真VR模具拆装系统项目,0.0,浙江工商职业技术学院,学校,,,,宁波拓固信息科技有限公司,,0.0,2022-09-20,浙江,,,,,https://www.zhiliaobiaoxun.com/content/361826382/b2
中标,合同,浙江工商职业技术学院三维数字化技术虚拟仿真（VR）模具拆装系统项目（重发）的合同公告,,NBJX2022087G-1,"三维数字化技术虚拟仿真VR模具拆装系统项目,VR眼镜套装,智慧一体机,虚拟现实教学平台,VR虚拟现实设备,中央空调,可上下自动调节讲台,模具拆卸与组装仿真软件",789900.0,浙江工商职业技术学院,学校,采购人-13600621355,宁波建兴招标有限公司,,宁波拓固信息科技有限公司,中标人-13586538080,789900.0,2022-09-20,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/361793732/b2
中标,合同,宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同,,,虚拟仿真基地管理及资源共享平台采购与安装项目,0.0,宁波第二技师学院,学校,,,,厦门凤凰创壹软件有限公司,,0.0,2022-09-19,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/361800980/b2
中标,合同,宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同公告,,CBNB-20223237G磋,虚拟仿真基地管理及资源共享平台采购与安装项目,899500.0,宁波第二技师学院,学校,杜**-0574-87459959,宁波中基国际招标有限公司,,厦门凤凰创壹软件有限公司,中标人-18850181570,899500.0,2022-09-19,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/361736724/b2
中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,"济南英泰安视信息技术有限公司
山东世和润安信息技术有限公司
南京浩伟智能科技有限公司
浙江安正科技股份有限公司
江苏一鼎堂软件科技有限公司
嘉兴元齐软件科技有限公司
浙江通鹏智能科技有限公司
杭州鑫之烁大数据科技有限公司",,"0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0",2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2
中标,中标结果,关于衢州职业技术学院虚拟仿真实训基地建设项目（软件）设备1项目的中标(成交)结果公告,,QZYCG2022-135,"虚拟仿真实训基地建设项目,软件设备",0.0,衢州职业技术学院,学校,"徐**-0570-8068411,蓝**-19957090305",,,"天津麦安科技有限公司
慧医（天津）教育科技有限公司
慧医谷中医药科技（天津）股份有限公司",,"0.0
0.0
1246800.0",2022-09-15,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/361007315/b2
中标,中标结果,浙江省政府采购中心关于浙江警察学院警务实战技能虚拟仿真训练平台及警指专业综合立体特种战术体系建设项目和杭州亚运会安保勤务及培训装备平台项目的中标(成交)结果公告,,ZZCG2022D-GK-148,"警务实战技能虚拟仿真训练平台项目,安保勤务及培训装备平台项目,警指专业综合立体特种战术体系建设项目",0.0,浙江警察学院,学校,采购人-0571-87787048,浙江省政府采购中心,戴**-0571-88907768,"杭州炽橙数字科技有限公司
浙江路盾安防装备有限公司
广州钛敌科装备科技发展有限责任公司
浙江智探安防科技有限公司
浙江警星装备制造有限公司
广东古德莱克防护装备有限公司",,"0.0
0.0
0.0
0.0
2669348.0
0.0",2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025420/b2
中标,中标结果,浙江国际招投标有限公司关于浙江工业大学朝晖校区虚拟仿真口语跨文化实训中心建设项目的中标结果公告（非政府采购公告）,,ZJ-2242255,虚拟仿真口语跨文化实训中心建设项目,928600.0,浙江工业大学,学校,王**-13819493620,浙江国际招投标有限公司,汪**-0571-89731843,上海左旗电子科技有限公司,,928600.0,2022-09-14,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/360789179/b2
中标,中标结果,绍兴市鼎正建设工程咨询有限公司关于虚拟仿真服装数字实验室建设项目采购的中标(成交)结果公告,,绍柯采[2022]2271号,虚拟仿真服装数字实验室建设项目,0.0,绍兴市柯桥区职业教育中心,政府及事业单位,葛**-0575-85682111,绍兴市鼎正建设工程咨询有限公司,夏**-13357564468,"绍兴市英领信息技术有限公司
绍兴恒叶信息技术有限公司
绍兴东致信息工程有限公司",,"0.0
0.0
684970.0",2022-09-13,浙江,绍兴,,,,https://www.zhiliaobiaoxun.com/content/360605409/b2
中标,中标结果,浙江省国际技术设备招标有限公司关于浙江旅游职业学院现代旅游虚拟仿真实训基地(二期)设备及软件资源建设及采购项目的中标(成交)结果公告,,0625-22217903,"现代旅游虚拟仿真实训基地二期设备及软件资源建设,现代旅游虚拟仿真实训基地二期设备及软件资源建设及采购",0.0,浙江旅游职业学院,学校,邵**-0571-82838178,浙江省国际技术设备招标有限公司,龚*-0571-85860839,"深圳市方直科技股份有限公司
杭州露电数字科技集团有限公司
杭州琦玮科技有限公司
杭州润致科技有限公司",,"3028000.0
0.0
0.0
0.0",2022-09-13,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/360586221/b2
中标,合同,宁波职业技术学院阳明学院3D打印实训室建设项目的合同公告,,ZJZC-223253,"增材制造虚拟仿真考核平台,3D打印实训室建设项目,金属3D打印机",1961000.0,宁波职业技术学院,学校,陈**-0574-86891262,浙江中创招投标有限公司,,杭州中测科技有限公司,中标人-18698585717,1961000.0,2022-09-11,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/359942727/b2
中标,中标结果,虚拟仿真实训基地环境建设项目中标公示,,,虚拟仿真实训基地环境建设项目,0.0,衢州职业技术学院,学校,,浙江新世纪工程咨询有限公司,,浙江金豪建,,0.0,2022-09-09,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/359458217/b2
中标,中标结果,关于衢州职业技术学院医护康养虚拟仿真实训基地1项目的中标(成交)结果公告,,QZYCG2022-133,"医护康养虚拟仿真实训基地,虚拟仿真实训基地建设项目硬件设备",0.0,衢州职业技术学院,学校,"徐**-0570-8068411,蓝**-19957090305",,,"北京格如灵科技有限公司
杭州志速科技有限公司
上海昕触信息科技有限公司
上海建教智能科技有限公司",,"2817558.0
0.0
0.0
0.0",2022-09-08,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/359247939/b2
中标,中标结果,浙江省国际技术设备招标有限公司关于温州医科大学附属第一医院模拟医学虚拟仿真系统的成交结果公告,,,模拟医学虚拟仿真系统,198000.0,温州医科大学附属第一医院,医院,林**-0577-55578153,浙江省国际技术设备招标有限公司,"马**-0571-85860232,林*-0571-85860240",上海华颐医疗器械有限公司,,198000.0,2022-09-08,浙江,温州,,,,https://www.zhiliaobiaoxun.com/content/359230683/b2
中标,中标结果,金华市公共资源交易中心东阳分中心关于东阳市技术学校机电设备采购项目的中标(成交)结果公告,,DYCG2022-A077,"电气自动化虚拟仿真系统,工业机器人技术应用实训平台,实训方凳,工业机器人技能考核实训台,实训室布线,机械CAD教育版软件,零部件展示柜,机电设备,数控加工仿真训练与智能化考核系统,零件测绘教师实训平台,双工位零件测绘实训平台,《基础零件》面向人人测绘套件,机床电气控制线路排故实训平台,《零部件拆装与测量》工具套装,工业40智能制造生产线实训台,自动编程系统,零部件测绘装置存放货架,移动智能多媒体实训系统,数控车床,电工技能与实验仿真教学软件",0.0,东阳市技术学校,学校,张*-0579-86389704,金华市公共资源交易中心东阳分中心,徐**-0579-86691535,"杭州永荣实业有限公司
金华市步云机电设备有限公司
杭州智存科技有限公司
杭州亚昆科技有限公司
南京梵创智能科技有限公司
杭州智海合达科技有限公司
浙江新工科教育科技有限公司
台州市永多机电设备有限公司
金华市远大机电设备有限公司
杭州汇育科技有限公司
安徽光理智能科技有限公司
杭州珞安智能科技有限公司",,"0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0",2022-09-08,浙江,金华,,,,https://www.zhiliaobiaoxun.com/content/359271257/b2
中标,中标结果,浙江方圆工程咨询有限公司关于三门技师学院智慧核电设备虚拟仿真实训设备项目的中标(成交)结果公告,,三招采-2022-GK076,智慧核电设备虚拟仿真实训设备项目,0.0,台州市三门县三门技师学院,学校,罗*-13175866269,浙江方圆工程咨询有限公司,代理联系人-0576-83322830,"宁波一宁教育科技有限公司
台州电耀教育科技有限公司
宁波奉化谦和教育科技有限公司",,"2170000.0
0.0
0.0",2022-09-07,浙江,台州,,,,https://www.zhiliaobiaoxun.com/content/358862452/b2
中标,中标结果,衢州学院关于实验安全教育及氟硅钴产业动画演示虚拟仿真项目的中标(成交)结果公告,,衢院招2022-40,"氟硅钴产业动画演示虚拟仿真项目,实验室安全虚拟现实3D培训考试系统,实验安全教育,实验室安全VR系统,HSE双重预防体系",0.0,衢州学院,学校,"周**-18957039862,翁**-0570-8015042",,,"北京东方仿真软件技术有限公司
杭州百子尖科技股份有限公司
厦门熙宝源化工技术有限公司
星逻人工智能技术（上海）有限公司
杭州昌邦科技有限公司",,"0.0
790000.0
0.0
0.0
0.0",2022-09-07,浙江,衢州,,,,https://www.zhiliaobiaoxun.com/content/359008485/b2
中标,合同,杭州科技职业技术学院工业智能控制与运维中心的合同公告,,ZJWSBJ-HKZ-2022029G,"PLC实训设备虚拟仿真模块,工业智能控制与运维中心,PLC控制综合实训平台",798000.0,杭州科技职业技术学院,学校,采购人-0571-28287602,浙江五石中正工程咨询有限公司,,浙江力控科技有限公司,中标人-13588159978,798000.0,2022-09-06,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/358548073/b2
中标,中标结果,宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的中标(成交)结果公告,,CBNB-20223237G磋（第二次）,虚拟仿真基地管理及资源共享平台采购与安装项目,0.0,宁波第二技师学院,学校,杜**-0574-87459959,宁波中基国际招标有限公司,陈*-0574-87425512,"上海曼恒数字技术股份有限公司
厦门凤凰创壹软件有限公司
宁波新远方美承数码科技有限公司
宁波甬隆电子科技有限公司
大雁教育科技（杭州）有限公司",,"0.0
899500.0
0.0
0.0
0.0",2022-09-02,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/357759532/b2
中标,合同,浙江旅游职业学院现代旅游虚拟仿真实训中心（二期）装修改造工程项目的合同,,,装修改造工程项目,0.0,浙江旅游职业学院,学校,,,,杭州装潢工程有限公司,,0.0,2022-09-02,浙江,,,,,https://www.zhiliaobiaoxun.com/content/357757623/b2
中标,合同,浙江旅游职业学院现代旅游虚拟仿真实训中心（二期）装修改造工程项目的合同公告,,0625-22217A10,装修改造工程项目,445800.0,浙江旅游职业学院,学校,邵**-0571-82838178,浙江省国际技术设备招标有限公司,,杭州装潢工程有限公司,中标人-13989811878,445800.0,2022-09-02,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/357728959/b2
